team,season,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l
Portland Trail Blazers,2016,108.8,108.0,0.8,21.3,96.0,0.548,0.511,13.2,25.9,0.503,44.0,38.0
Sacramento Kings,2016,106.0,108.4,-2.4,24.5,100.0,0.546,0.51,14.2,23.9,0.521,33.0,49.0
San Antonio Spurs,2016,110.3,99.0,11.3,24.5,93.8,0.564,0.526,12.4,23.0,0.477,67.0,15.0
Toronto Raptors,2016,110.0,105.2,4.8,18.7,92.9,0.552,0.504,12.3,24.6,0.498,56.0,26.0
Utah Jazz,2016,105.9,103.9,2.0,19.0,91.0,0.54,0.501,14.2,25.9,0.495,40.0,42.0
Washington Wizards,2016,105.3,105.8,-0.5,24.5,98.5,0.544,0.511,13.1,20.6,0.515,41.0,41.0
Atlanta Hawks,2015,108.9,103.1,5.8,25.7,93.9,0.563,0.527,13.5,21.4,0.492,60.0,22.0
Boston Celtics,2015,104.7,104.5,0.2,24.5,95.8,0.523,0.489,12.5,24.7,0.494,40.0,42.0
Brooklyn Nets,2015,104.4,107.4,-3.0,20.9,92.7,0.529,0.491,13.0,23.9,0.506,38.0,44.0
Chicago Bulls,2015,107.5,104.3,3.2,21.7,92.8,0.536,0.489,12.9,27.0,0.473,50.0,32.0
Charlotte Hornets,2015,100.1,103.5,-3.4,20.2,93.0,0.498,0.456,11.2,22.1,0.487,33.0,49.0
Cleveland Cavaliers,2015,111.1,106.3,4.8,22.1,92.3,0.557,0.52,13.4,26.8,0.502,53.0,29.0
Dallas Mavericks,2015,109.5,106.4,3.1,22.5,95.2,0.55,0.515,11.9,23.6,0.503,50.0,32.0
Denver Nuggets,2015,104.5,108.2,-3.7,21.8,96.1,0.518,0.479,12.7,26.6,0.504,30.0,52.0
Detroit Pistons,2015,105.3,106.4,-1.1,21.6,92.8,0.515,0.482,12.3,27.7,0.502,32.0,50.0
Golden State Warriors,2015,111.6,101.4,10.2,27.4,98.3,0.571,0.54,13.1,24.1,0.47,67.0,15.0
Houston Rockets,2015,107.0,103.4,3.6,22.2,96.5,0.548,0.512,15.0,26.8,0.486,56.0,26.0
Indiana Pacers,2015,103.5,103.2,0.3,21.4,93.2,0.523,0.484,13.1,24.0,0.478,38.0,44.0
Los Angeles Clippers,2015,112.4,105.5,6.9,24.8,94.7,0.565,0.533,11.6,22.8,0.493,56.0,26.0
Los Angeles Lakers,2015,103.4,110.6,-7.2,20.9,94.0,0.513,0.473,12.1,25.4,0.518,21.0,61.0
Memphis Grizzlies,2015,105.7,102.2,3.5,21.7,92.0,0.531,0.489,12.6,24.7,0.492,55.0,27.0
Miami Heat,2015,103.9,106.7,-2.8,19.8,90.9,0.54,0.5,14.5,23.2,0.505,37.0,45.0
Milwaukee Bucks,2015,102.7,102.2,0.5,23.6,94.1,0.536,0.499,15.5,25.4,0.487,41.0,41.0
Minnesota Timberwolves,2015,102.9,112.2,-9.3,21.6,94.4,0.517,0.468,13.7,26.6,0.537,16.0,66.0
New Orleans Pelicans,2015,108.2,107.3,0.9,22.0,91.4,0.537,0.501,12.5,27.1,0.496,45.0,37.0
New York Knicks,2015,99.9,110.0,-10.1,21.3,91.2,0.508,0.47,14.0,24.5,0.512,17.0,65.0
Oklahoma City Thunder,2015,107.8,105.5,2.3,20.5,95.7,0.532,0.492,13.1,28.9,0.489,45.0,37.0
Orlando Magic,2015,101.6,107.7,-6.1,20.6,93.8,0.524,0.494,14.0,23.1,0.514,25.0,57.0
Philadelphia 76ers,2015,95.5,104.8,-9.3,20.5,95.7,0.494,0.459,16.0,25.5,0.497,18.0,64.0
Phoenix Suns,2015,105.3,106.2,-0.9,20.2,96.3,0.537,0.501,13.7,24.5,0.497,39.0,43.0
Portland Trail Blazers,2015,108.2,103.7,4.5,21.9,94.2,0.544,0.508,12.6,24.2,0.476,51.0,31.0
Sacramento Kings,2015,105.3,109.2,-3.9,20.3,95.4,0.542,0.49,14.8,26.5,0.507,29.0,53.0
San Antonio Spurs,2015,108.5,102.0,6.5,24.4,93.8,0.555,0.517,13.1,23.4,0.484,55.0,27.0
Toronto Raptors,2015,111.0,107.7,3.3,20.7,92.8,0.553,0.508,12.0,25.6,0.506,49.0,33.0
Utah Jazz,2015,105.1,104.9,0.2,19.9,90.4,0.531,0.494,14.6,29.1,0.491,38.0,44.0
Washington Wizards,2015,103.7,103.0,0.7,24.0,93.7,0.534,0.499,14.0,24.9,0.481,46.0,36.0
Atlanta Hawks,2014,105.9,106.4,-0.5,24.9,94.6,0.554,0.515,14.3,21.0,0.51,38.0,44.0
Boston Celtics,2014,102.9,107.7,-4.8,21.0,93.3,0.517,0.477,14.2,27.4,0.505,25.0,57.0
Brooklyn Nets,2014,106.7,107.7,-1.0,20.9,91.4,0.555,0.514,14.1,21.7,0.509,44.0,38.0
Charlotte Bobcats,2014,103.6,103.8,-0.2,21.7,92.4,0.522,0.481,11.7,21.9,0.491,43.0,39.0
Chicago Bulls,2014,102.5,100.5,2.0,22.7,90.2,0.518,0.471,14.2,27.2,0.471,48.0,34.0
Cleveland Cavaliers,2014,104.2,107.7,-3.5,21.2,93.1,0.518,0.479,13.0,27.2,0.508,33.0,49.0
Dallas Mavericks,2014,111.2,108.7,2.5,23.6,93.5,0.564,0.526,12.7,24.6,0.515,49.0,33.0
Denver Nuggets,2014,106.0,108.2,-2.2,22.4,98.1,0.536,0.497,14.0,27.5,0.5,36.0,46.0
Detroit Pistons,2014,105.9,109.7,-3.8,20.9,94.9,0.514,0.482,12.9,31.4,0.52,29.0,53.0
Golden State Warriors,2014,107.5,102.6,4.9,23.3,96.2,0.55,0.517,13.8,25.1,0.477,51.0,31.0
Houston Rockets,2014,111.0,106.3,4.7,21.4,96.3,0.571,0.531,14.6,27.4,0.489,54.0,28.0
Indiana Pacers,2014,104.1,99.3,4.8,20.1,92.5,0.535,0.49,14.3,24.9,0.46,56.0,26.0
Los Angeles Clippers,2014,112.1,104.8,7.3,24.6,95.9,0.567,0.526,12.7,25.0,0.484,57.0,25.0
Los Angeles Lakers,2014,104.2,110.6,-6.4,24.5,98.7,0.542,0.505,13.7,20.2,0.513,27.0,55.0
Memphis Grizzlies,2014,106.3,104.6,1.7,21.9,89.9,0.529,0.494,13.1,28.3,0.497,50.0,32.0
Miami Heat,2014,110.9,105.8,5.1,22.5,91.2,0.59,0.554,14.6,20.6,0.511,54.0,28.0
Milwaukee Bucks,2014,103.0,111.8,-8.8,21.5,91.8,0.519,0.479,14.1,27.1,0.52,15.0,67.0
Minnesota Timberwolves,2014,108.9,106.2,2.7,23.9,97.3,0.535,0.486,12.2,27.4,0.518,40.0,42.0
New Orleans Pelicans,2014,107.2,110.1,-2.9,21.3,92.2,0.537,0.495,12.9,26.9,0.515,34.0,48.0
New York Knicks,2014,108.3,109.1,-0.8,20.0,90.3,0.541,0.505,12.5,25.1,0.514,37.0,45.0
Oklahoma City Thunder,2014,110.5,103.9,6.6,21.9,95.4,0.566,0.52,14.0,26.5,0.488,59.0,23.0
Orlando Magic,2014,101.7,107.4,-5.7,21.0,93.6,0.525,0.487,13.9,22.4,0.504,23.0,59.0
Philadelphia 76ers,2014,99.4,109.9,-10.5,21.8,99.2,0.51,0.475,14.8,24.8,0.524,19.0,63.0
Phoenix Suns,2014,109.5,106.7,2.8,19.1,95.8,0.558,0.519,14.0,26.4,0.496,48.0,34.0
