,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l,team,season,Champion
80,104.6,112.8,-8.2,22.2,98.5,0.53,0.497,12.5,21.8,0.533,24.0,58.0,Oklahoma City Thunder,2022,0
81,104.5,112.5,-8.0,23.7,99.2,0.538,0.503,13.0,19.8,0.532,22.0,60.0,Orlando Magic,2022,0
82,113.5,110.8,2.7,23.7,96.2,0.578,0.534,11.6,20.1,0.524,51.0,31.0,Philadelphia 76ers,2022,0
83,114.8,107.3,7.5,27.4,99.8,0.581,0.549,11.6,22.3,0.51,64.0,18.0,Phoenix Suns,2022,0
84,107.8,116.9,-9.1,22.9,98.3,0.55,0.515,13.0,22.9,0.559,27.0,55.0,Portland Trail Blazers,2022,0
85,109.9,115.3,-5.4,23.7,99.8,0.561,0.525,12.5,21.3,0.551,30.0,52.0,Sacramento Kings,2022,0
86,112.4,112.3,0.1,27.9,100.0,0.556,0.527,11.1,23.7,0.532,34.0,48.0,San Antonio Spurs,2022,0
87,112.9,110.5,2.4,22.1,96.0,0.543,0.51,11.0,28.4,0.535,48.0,34.0,Toronto Raptors,2022,0
88,116.7,110.5,6.2,22.4,97.1,0.589,0.555,12.7,25.4,0.521,49.0,33.0,Utah Jazz,2022,0
89,111.1,114.5,-3.4,25.0,97.0,0.568,0.532,12.1,20.9,0.529,35.0,47.0,Washington Wizards,2022,0
90,115.7,113.3,2.4,24.1,97.6,0.581,0.539,11.9,24.4,0.53,41.0,31.0,Atlanta Hawks,2021,0
91,114.0,112.5,1.5,23.5,98.3,0.574,0.543,12.5,24.3,0.539,36.0,36.0,Boston Celtics,2021,0
92,118.3,113.8,4.5,26.8,99.5,0.61,0.575,12.2,21.4,0.531,48.0,24.0,Brooklyn Nets,2021,0
93,111.1,112.0,-0.9,26.8,99.0,0.575,0.547,13.6,22.3,0.538,31.0,41.0,Chicago Bulls,2021,0
94,110.9,112.8,-1.9,26.8,98.3,0.564,0.532,13.3,23.5,0.55,33.0,39.0,Charlotte Hornets,2021,0
95,105.8,114.4,-8.6,23.8,97.3,0.543,0.508,13.9,23.6,0.556,22.0,50.0,Cleveland Cavaliers,2021,0
96,115.4,113.0,2.4,22.9,97.3,0.582,0.55,11.1,21.1,0.534,42.0,30.0,Dallas Mavericks,2021,0
97,117.1,112.1,5.0,26.8,97.1,0.588,0.557,12.1,24.7,0.545,47.0,25.0,Denver Nuggets,2021,0
98,108.0,112.5,-4.5,24.2,97.9,0.556,0.519,13.5,21.9,0.541,20.0,52.0,Detroit Pistons,2021,0
99,111.1,110.1,1.0,27.7,102.2,0.583,0.551,13.3,17.9,0.522,39.0,33.0,Golden State Warriors,2021,0
100,107.1,114.9,-7.8,23.6,101.4,0.553,0.521,13.0,19.8,0.555,17.0,55.0,Houston Rockets,2021,0
101,117.6,111.2,6.4,24.4,96.9,0.599,0.564,12.2,22.7,0.531,47.0,25.0,Los Angeles Clippers,2021,0
102,109.9,107.1,2.8,24.7,98.7,0.569,0.536,13.6,22.5,0.526,42.0,30.0,Los Angeles Lakers,2021,0
103,112.0,111.0,1.0,26.9,100.4,0.56,0.528,11.6,24.2,0.535,38.0,34.0,Memphis Grizzlies,2021,0
